(1,316)
(354,397)
(412,461)
(481,495)
(501,512)
(522,546)
(576,728)
(759,785)
(798,882)
(894,894)
(900,910)
(927,1022)
(1041,1246)
(1267,1471)
(1492,1585)
(1593,1594)
(1609,1757)
(1782,1796)
(1812,1923)
(1932,1932)
(1957,1965)
(1981,2315)
(2323,2427)
(2439,2688)
(2697,2814)
(2836,2862)
(2881,2980)
(2997,3316)
(3354,3397)
(3412,3461)
(3481,3495)
(3501,3512)
(3522,3546)
(3576,3728)
(3759,3785)
(3798,3882)
(3894,3894)
(3900,3910)
(3927,4022)
(4041,4246)
(4267,4471)
(4492,4585)
(4593,4594)
(4609,4757)
(4782,4796)
(4812,4923)
(4932,4932)
(4957,4965)
(4981,5315)
(5323,5427)
(5439,5688)
(5697,5814)
(5836,5862)
(5881,5980)
(5997,6316)
(6354,6397)
(6412,6461)
(6481,6495)
(6501,6512)
(6522,6546)
(6576,6728)
(6759,6785)
(6798,6882)
(6894,6894)
(6900,6910)
(6927,7022)
(7041,7246)
(7267,7471)
(7492,7585)
(7593,7594)
(7609,7757)
(7782,7796)
(7812,7923)
(7932,7932)
(7957,7965)
(7981,8315)
(8323,8427)
(8439,8688)
(8697,8814)
(8836,8862)
(8881,8980)
(8997,9316)
(9354,9397)
(9412,9461)
(9481,9495)
(9501,9512)
(9522,9546)
(9576,9728)
(9759,9785)
(9798,9882)
(9894,9894)
(9900,9910)
(9927,10022)
(10041,10246)
(10267,10471)
(10492,10585)
(10593,10594)
(10609,10757)
(10782,10796)
(10812,10923)
(10932,10932)
(10957,10965)
(10981,11315)
(11323,11427)
(11439,11688)
(11697,11814)
(11836,11862)
(11881,11980)
(11997,12316)
(12354,12397)
(12412,12461)
(12481,12495)
(12501,12512)
(12522,12546)
(12576,12728)
(12759,12785)
(12798,12882)
(12894,12894)
(12900,12910)
(12927,13022)
(13041,13246)
(13267,13471)
(13492,13585)
(13593,13594)
(13609,13757)
(13782,13796)
(13812,13923)
(13932,13932)
(13957,13965)
(13981,14315)
(14323,14427)
(14439,14688)
(14697,14814)
(14836,14862)
(14881,14980)
(14997,15316)
(15354,15397)
(15412,15461)
(15481,15495)
(15501,15512)
(15522,15546)
(15576,15728)
(15759,15785)
(15798,15882)
(15894,15894)
(15900,15910)
(15927,16022)
(16041,16246)
(16267,16471)
(16492,16585)
(16593,16594)
(16609,16757)
(16782,16796)
(16812,16923)
(16932,16932)
(16957,16965)
(16981,17315)
(17323,17427)
(17439,17688)
(17697,17814)
(17836,17862)
(17881,17980)
(17997,18316)
(18354,18397)
(18412,18461)
(18481,18495)
(18501,18512)
(18522,18546)
(18576,18728)
(18759,18785)
(18798,18882)
(18894,18894)
(18900,18910)
(18927,19022)
(19041,19246)
(19267,19471)
(19492,19585)
(19593,19594)
(19609,19757)
(19782,19796)
(19812,19923)
(19932,19932)
(19957,19965)
(19981,20315)
(20323,20427)
(20439,20688)
(20697,20814)
(20836,20862)
(20881,20980)
(20997,21316)
(21354,21397)
(21412,21461)
(21481,21495)
(21501,21512)
(21522,21546)
(21576,21728)
(21759,21785)
(21798,21882)
(21894,21894)
(21900,21910)
(21927,22022)
(22041,22246)
(22267,22471)
(22492,22585)
(22593,22594)
(22609,22757)
(22782,22796)
(22812,22923)
(22932,22932)
(22957,22965)
(22981,23315)
(23323,23427)
(23439,23688)
(23697,23814)
(23836,23862)
(23881,23980)
(23997,24316)
(24354,24397)
(24412,24461)
(24481,24495)
(24501,24512)
(24522,24546)
(24576,24728)
(24759,24785)
(24798,24882)
(24894,24894)
(24900,24910)
(24927,25022)
(25041,25246)
(25267,25471)
(25492,25585)
(25593,25594)
(25609,25757)
(25782,25796)
(25812,25923)
(25932,25932)
(25957,25965)
(25981,26315)
(26323,26427)
(26439,26688)
(26697,26814)
(26836,26862)
(26881,26980)
(26997,27316)
(27354,27397)
(27412,27461)
(27481,27495)
(27501,27512)
(27522,27546)
(27576,27728)
(27759,27785)
(27798,27882)
(27894,27894)
(27900,27910)
(27927,28022)
(28041,28246)
(28267,28471)
(28492,28585)
(28593,28594)
(28609,28757)
(28782,28796)
(28812,28923)
(28932,28932)
(28957,28965)
(28981,29315)
(29323,29427)
(29439,29688)
(29697,29814)
(29836,29862)
(29881,29980)
(29997,30000)
